time (ns),value
0000000,FF
0000104,FF
0000208,FF
0000312,FF
0000417,FF
0000521,CC
0000625,1E
0000729,FF
0000833,FF
0000938,FF
0001042,06
0001146,FF
0001250,11
0001354,FF
0001458,00
0001563,FF
0001667,FF
0001771,FF
0001875,FF
0001979,FF
0002083,FF
0002188,00
0002292,FF
0002396,9F
0002500,DF
0002604,D2
0002708,9D
0002812,FF
0002917,C2
0003021,73
0003125,FF
0003229,FF
0003333,FF
0003438,FF
0003542,82
0003646,00
0003750,E5
0003854,FF
0003958,FF
0004063,FF
0004167,FF
0004271,FF
0004375,3F
0004479,FF
0004583,86
0004688,00
0004792,FF
0004896,86
0005000,FF
0005104,79
0005208,FF
0005312,FF
0005417,FF
0005521,FF
0005625,AD
0005729,FF
0005833,FF
0005938,FF
0006042,FF
0006146,BF
0006250,DD
0006354,C7
0006458,FF
0006563,FF
0006667,AE
0006771,BD
0006875,D9
0006979,FF
0007083,00
0007188,D0
0007292,55
0007396,FF
0007500,11
0007604,FF
0007708,DC
0007812,FF
0007917,6F
0008021,FF
0008125,FF
0008229,FF
0008333,FF
0008438,FF
0008542,FF
0008646,DF
0008750,7F
0008854,CA
0008958,DC
0009063,FF
0009167,FF
0009271,FF
0009375,C3
0009479,FF
0009583,FF
0009688,FF
0009792,FF
0009896,FF
0010000,5F
0010104,FF
0010208,DB
0010313,E0
0010417,C4
0010521,00
0010625,C3
0010729,A8
0010833,B0
0010938,17
0011042,FF
0011146,FF
0011250,60
0011354,FF
0011458,9B
0011563,FF
0011667,E8
0011771,FF
0011875,FF
0011979,FF
0012083,A9
0012188,CA
0012292,19
0012396,68
0012500,1B
0012604,FF
0012708,FF
0012813,17
0012917,77
0013021,21
0013125,FF
0013229,8A
0013333,FF
0013438,FF
0013542,FF
0013646,FF
0013750,0C
0013854,0D
0013958,00
0014063,C0
0014167,FF
0014271,FF
0014375,B4
0014479,FF
0014583,FF
0014688,FF
0014792,B0
0014896,98
0015000,B5
0015104,B6
0015208,FF
0015313,FF
0015417,FF
0015521,FF
0015625,00
0015729,FF
0015833,FF
0015938,D3
0016042,00
0016146,E9
0016250,FF
0016354,FF
0016458,FF
0016563,FF
0016667,FF
0016771,D3
0016875,00
0016979,C6
0017083,00
0017188,FF
0017292,B8
0017396,45
0017500,FF
0017604,81
0017708,87
0017813,FC
0017917,F0
0018021,6E
0018125,FF
0018229,00
0018333,91
0018438,FF
0018542,00
0018646,FF
0018750,D7
0018854,FF
0018958,FF
0019063,48
0019167,00
0019271,FF
0019375,FF
0019479,A0
0019583,5D
0019688,E6
0019792,FF
0019896,FF
0020000,FF
0020104,E0
0020208,5F
0020313,FF
0020417,FF
0020521,FF
0020625,FF
0020729,FF
0020833,5B
0020938,05
0021042,6B
0021146,FF
0021250,B3
0021354,6C
0021458,DD
0021563,97
0021667,C3
0021771,FF
0021875,FF
0021979,55
0022083,2B
0022188,B7
0022292,DE
0022396,A9
0022500,FF
0022604,D6
0022708,00
0022813,D8
0022917,FF
0023021,37
0023125,FF
0023229,FF
0023333,FF
0023438,FF
0023542,26
0023646,0F
0023750,00
0023854,F9
0023958,97
0024063,08
0024167,FF
0024271,FF
0024375,D0
0024479,FF
0024583,FF
0024688,FF
0024792,FE
0024896,FF
0025000,FF
0025104,80
0025208,FF
0025313,FF
0025417,FF
0025521,FF
0025625,DB
0025729,CB
0025833,A0
0025938,FF
0026042,30
0026146,00
0026250,FF
0026354,FF
0026458,00
0026563,FF
0026667,FC
0026771,FF
0026875,37
0026979,FF
0027083,FF
0027188,FF
0027292,FF
0027396,5D
0027500,B6
0027604,52
0027708,FF
0027812,DB
0027917,00
0028021,FF
0028125,FF
0028229,FF
0028333,5E
0028438,FF
0028542,FF
0028646,FF
0028750,C8
0028854,38
0028958,FF
0029063,AB
0029167,8C
0029271,02
0029375,00
0029479,C4
0029583,E8
0029688,00
0029792,00
0029896,EA
0030000,FF
0030104,5D
0030208,3A
0030313,FF
0030417,FF
0030521,80
0030625,FF
0030729,FF
0030833,00
0030938,00
0031042,E7
0031146,18
0031250,FF
0031354,FF
0031458,FF
0031562,FF
0031667,B3
0031771,29
0031875,FF
0031979,F0
0032083,FF
0032188,88
0032292,70
0032396,FF
0032500,68
0032604,FF
0032708,FF
